Record,Country,Country Secondary Subdivision,Country Subdivision,Subdivision Name,Postal Code,Address,Local Name,Municipality,Municipality Subdivision,entryPoints_0_functions_0,Latitude,Longtitude,poi_brands_1_name,POI Name,URL,Source,Store Name
813850,United States,Fairfield,CT,Connecticut,06830-7232,"1 Windrose Way, Greenwich, CT 06830",Greenwich,Greenwich,Downtown Greenwich,,41.01518,-73.61,,Uranium Markets,www.uraniummarkets.com,Azure Maps,
883850,United States,Fairfield,CT,Connecticut,06830-7138,"4 Davenport Avenue, Greenwich, CT 06830",Greenwich,Greenwich,Downtown Greenwich,,41.01705,-73.62224,,Arguimbau & Co,www.arguimbau-co.com,Azure Maps,
923850,United States,Fairfield,CT,Connecticut,06830-6650,"140 Hamilton Avenue, Greenwich, CT 06830",Greenwich,Greenwich,Downtown West-Chickahominy,,41.01875,-73.63877,,Corner Market,cornermarketgreenwich.business.site,Azure Maps,
863850,United States,Fairfield,CT,Connecticut,06830-6523,"372 Greenwich Avenue, Greenwich, CT 06830",Greenwich,Greenwich,Downtown Greenwich,,41.0228,-73.62484,,Harvest,,Azure Maps,
853850,United States,Fairfield,CT,Connecticut,06830-6507,"244 Greenwich Avenue, Greenwich, CT 06830",Greenwich,Greenwich,Downtown Greenwich,,41.02657,-73.62596,,Lucky Brand,www.luckybrand.com,Azure Maps,
903850,United States,Fairfield,CT,Connecticut,06830-5344,"160 West Putnam Avenue, Greenwich, CT 06830",Greenwich,Greenwich,Downtown Greenwich,,41.0269,-73.63122,,ACME Markets,local.acmemarkets.com/ct/greenwich/160-w-putnam-ave.html,Azure Maps,
893850,United States,Fairfield,CT,Connecticut,06830-5329,"161 West Putnam Avenue, Greenwich, CT 06830",Greenwich,Greenwich,South of Parkway,,41.027,-73.63098,,Super Stop & Shop,stores.stopandshop.com/ct/greenwich/161-west-putnam-avenue,Azure Maps,
843850,United States,Fairfield,CT,Connecticut,06830-5503,"30 Greenwich Avenue, Greenwich, CT 06830",Greenwich,Greenwich,Downtown Greenwich,,41.03035,-73.62681,,Kinnikinnick Foods,consumer.kinnikinnick.com/,Azure Maps,
643850,United States,Fairfield,CT,Connecticut,06870-1721,"26 Arcadia Road, Old Greenwich, CT 06870",Old Greenwich,Greenwich,Old Greenwich,,41.03213,-73.567,,Food Mart Old Greenwich,,Azure Maps,
633850,United States,Fairfield,CT,Connecticut,06870-1721,"26 Arcadia Road, Old Greenwich, CT 06870",Old Greenwich,Greenwich,Old Greenwich,,41.03213,-73.567,,Genesis King Super Markets,,Azure Maps,
833850,United States,Fairfield,CT,Connecticut,06830-5626,"90 East Putnam Avenue, Greenwich, CT 06830",Greenwich,Greenwich,Downtown Greenwich,FrontDoor,41.03319,-73.6242,,Fresh Fields Market,,Azure Maps,
823850,United States,Fairfield,CT,Connecticut,06830-5626,"90 East Putnam Avenue, Greenwich, CT 06830",Greenwich,Greenwich,Downtown Greenwich,FrontDoor,41.03319,-73.6242,,Whole Foods Market,www.wholefoodsmarket.com/stores/greenwich,Azure Maps,
493850,United States,Fairfield,CT,Connecticut,06902-7428,"262 Harbor Drive, Stamford, CT 06902",Stamford,Stamford,Shippan,,41.03403,-73.53489,,Market76,,Azure Maps,
